154	 Zimmer, B	CLE	CF	17	47	7	13	4	0	3	11	6	16	3	1	.277	.358	.553	.912
155	 Barnhart, T	CIN	C	39	123	10	34	10	0	1	6	9	24	1	0	.276	.326	.382	.708
156	 Mazara, N	TEX	RF	53	199	24	55	13	1	6	35	19	41	2	0	.276	.344	.442	.786
157	 AlmoraJr, A	CHC	CF	45	105	17	29	5	0	3	12	8	17	0	0	.276	.327	.410	.737
158	 Hernandez, M	BOS	2B	21	58	7	16	3	0	0	2	1	15	0	1	.276	.300	.328	.628
159	 Gattis, E	HOU	C	37	127	19	35	8	0	4	24	11	20	0	0	.276	.343	.433	.776
160	 Cabrera, M	DET	1B	43	157	17	43	10	0	5	26	25	37	0	1	.274	.378	.433	.811
161	 Riddle, J	MIA	SS	33	95	10	26	8	0	3	17	3	23	0	1	.274	.284	.453	.737
162	 Grandal, Y	LAD	C	50	172	19	47	14	0	6	24	16	45	0	0	.273	.333	.459	.793
163	 Wainwright, A	STL	P	11	22	4	6	1	0	2	7	0	5	0	0	.273	.273	.591	.864
164	 Duvall, A	CIN	LF	55	213	31	58	11	1	14	45	15	56	4	2	.272	.322	.531	.852
165	 Perez, H	MIL	SS	51	180	22	49	11	3	6	25	9	33	2	1	.272	.304	.467	.770
166	 Holliday, M	NYY	DH	51	177	25	48	9	0	12	37	24	58	1	0	.271	.361	.525	.886
167	 Aguilar, J	MIL	1B	54	107	15	29	8	2	5	18	9	39	0	0	.271	.339	.523	.862
168	 Seager, C	LAD	SS	56	203	39	55	13	0	7	24	36	49	2	0	.271	.382	.438	.820
169	 Toles, A	LAD	LF	31	96	17	26	3	0	5	15	5	16	0	1	.271	.314	.458	.772
170	 Narvaez, O	CWS	C	30	85	9	23	2	0	0	4	15	14	0	0	.271	.380	.294	.674
171	 DeShields, D	TEX	LF	44	122	23	33	5	0	1	8	12	40	8	3	.270	.336	.336	.672
172	 Gennett, S	CIN	2B	46	111	14	30	7	2	3	20	5	30	0	0	.270	.308	.450	.758
172	 Goodwin, B	WSH	RF	16	37	3	10	3	1	1	6	1	9	1	0	.270	.282	.486	.769
172	 Pillar, K	TOR	CF	56	222	33	60	13	1	7	13	16	31	9	4	.270	.326	.432	.759
175	 Ahmed, N	ARI	SS	42	126	18	34	6	1	5	17	7	31	3	2	.270	.308	.452	.761
175	 Barnes, A	LAD	C	28	63	14	17	7	1	2	8	11	13	2	0	.270	.378	.508	.886
175	 Cespedes, Y	NYM	LF	18	63	12	17	4	0	6	10	11	14	0	1	.270	.373	.619	.992
178	 Maldonado, M	LAA	C	49	152	16	41	7	0	4	15	8	40	0	0	.270	.339	.395	.734
179	 Taylor, M	WSH	CF	44	141	20	38	7	2	6	17	9	49	3	1	.270	.311	.475	.786
180	 Gardner, B	NYY	LF	50	193	39	52	10	1	12	26	25	46	5	1	.269	.355	.518	.873
181	 Santana, D	MIL	RF	54	182	33	49	9	0	10	31	26	57	5	2	.269	.362	.484	.845
182	 Duda, L	NYM	1B	35	119	15	32	9	0	10	21	20	31	0	0	.269	.379	.597	.975
183	 Kepler, M	MIN	RF	51	186	29	50	13	1	7	25	21	40	3	1	.269	.348	.462	.810
